* 
	5	ANALOG	0	0	1	3	4	5	10	24	42	77,0	77,1	77,2	77,3	77,4	78,0	78,1	78,2	78,3	78,4	91,1	91,2	91,3	91,4	91,5	66
*record  OrderNo  Type  Key  Name  Stn  AOR  pScale EU_Hi AlarmGrp   Nom.HiLim:77,0  77,1  77,2  77,3  Rsnblty77,4  Nom.LoLim78,0  78,1  78,2  78,3  Rsnblty78,4  NomPairInactive91,1  91,2  91,3  91,4  91,5  ICAddress
	92	92	2	"04017003"	"AL RBV1     ALACHUA TX1 REG B VOLTS"	017	5  	204.7	1	127.5  	0	0	0	150  	0	118  	0	0	-10  	0.0	0.0	0.0	1.0	1.0	NaN
	93	93	2	"04017004"	"AL RCV1     ALACHUA TX1 REG C VOLTS"	017	5  	204.7	1	127.5  	0	0	0	150  	0	118  	0	0	-10  	0.0	0.0	0.0	1.0	1.0	NaN
	94	94	2	"04017005"	"AL TX1A     AL TX1 A AMPS C/S TRIP"	017	5  	818.8	1	520  	0	0	0	557  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	95	95	2	"04017006"	"AL TX1B     AL TX1 B AMPS C/S TRIP"	017	5  	818.8	1	520  	0	0	0	557  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	96	96	2	"04017007"	"AL TX1C     AL TX1 C AMPS C/S TRIP"	017	5  	818.8	1	520  	0	0	0	557  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	97	97	2	"04017008"	"AL TX1W     ALACHUA TX1 WATTS"	017	5  	32752.0	1	17000  	0	0	0	20000  	0	-500  	0	0	-1000  	0.0	0.0	0.0	1.0	1.0	NaN
	98	98	2	"04031002"	"RV RCV2     TX2 REG C VOLT"	031	6  	204.7	1	127.5  	0	0	0	150  	0	118.5  	0	0	-10  	0.0	0.0	0.0	1.0	1.0	NaN
	99	99	1	"03017001"	"AL PMT2     AL TX2 PREV MONTH TOTAL"	017	5  	1.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	100	100	1	"03017002"	"AL CMTT     AL TOT CUR MONTH DMD"	017	5  	1.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	101	101	2	"04017009"	"AL LTC1     AL TX1 LD TAP CHGR POS"	017	4  	15.9666	1	15  	0	0	0	16.5  	0	-16  	0	0	-16.5  	0.0	0.0	0.0	1.0	1.0	NaN
	102	102	2	"04017010"	"AL 1A       AL BRK 1 A AMPS BKR TRIP"	017	5  	600.0001	1	450  	0	0	0	504  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	103	103	2	"04017011"	"AL 1B       AL BRK 1 B AMPS BKR TRIP"	017	5  	600.0001	1	450  	0	0	0	504  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	104	104	2	"04017012"	"AL 1C       AL BRK 1 C AMPS BKR TRIP"	017	5  	600.0001	1	450  	0	0	0	504  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	105	105	2	"04017013"	"AL 2A       AL BRK 2 A AMPS BKR TRIP"	017	5  	600.0001	1	450  	0	0	0	504  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	106	106	2	"04017014"	"AL 2B       AL BRK 2 B AMPS BKR TRIP"	017	5  	600.0001	1	450  	0	0	0	504  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	107	107	2	"04017015"	"AL 2C       AL BRK 2 C AMPS BKR TRIP"	017	5  	600.0001	1	450  	0	0	0	504  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	108	108	2	"04017016"	"AL 3A       AL BRK 3 A AMPS BKR TRIP"	017	5  	600.0001	1	450  	0	0	0	504  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	109	109	2	"04017017"	"AL 3B       AL BRK 3 B AMPS BKR TRIP"	017	5  	600.0001	1	450  	0	0	0	504  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	110	110	2	"04017018"	"AL 3C       AL BRK 3 C AMPS BKR TRIP"	017	5  	600.0001	1	450  	0	0	0	504  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	111	111	2	"04017019"	"AL DCV      AL DC VOLTS"	017	5  	149.9835	1	135  	0	0	0	140  	0	126.5  	0	0	-10  	0.0	0.0	0.0	1.0	1.0	NaN
	112	112	2	"04017020"	"AL RAV2     ALACHUA TX2 REG A VOLTS"	017	5  	204.7	1	127.5  	0	0	0	150  	0	119  	0	0	-10  	0.0	0.0	0.0	1.0	1.0	NaN
	113	113	2	"04017021"	"AL RBV2     ALACHUA TX2 REG B VOLTS"	017	5  	204.7	1	127.5  	0	0	0	150  	0	119  	0	0	-10  	0.0	0.0	0.0	1.0	1.0	NaN
	114	114	2	"04017022"	"AL RCV2     ALACHUA TX2 REG C VOLTS"	017	5  	204.7	1	127.5  	0	0	0	150  	0	119  	0	0	-10  	0.0	0.0	0.0	1.0	1.0	NaN
	115	115	2	"04017023"	"AL TX2A     AL TX2 A AMPS C/S TRIP"	017	5  	1228.2	1	775  	0	0	0	834  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	116	116	2	"04017024"	"AL TX2B     AL TX2 B AMPS C/S TRIP"	017	5  	1228.2	1	775  	0	0	0	834  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	117	117	2	"04017025"	"AL TX2C     AL TX2 C AMPS C/S TRIP"	017	5  	1228.2	1	775  	0	0	0	834  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	118	118	2	"04017026"	"AL TX2W     ALACHUA TX2 WATTS"	017	5  	49128.0	1	29000  	0	0	0	33000  	0	-500  	0	0	-1000  	0.0	0.0	0.0	1.0	1.0	NaN
	119	119	2	"04008002"	"SG 2C       BKR 2 C AMPS BKR TRIP"	008	7  	599.9999	1	440  	0	0	0	540  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
