*         Type  Key          Name                                          Stn   AOR                HiLim[0](High)   HiLim[1](Rsnblty)  LoLim[0](Low)   LoLim[1](Rsnblty)  AlarmGroup   pScale(EU_Hi)  ICAddress
*         ----  ---          ----                                          ---   ---                --------------   -----------------  -------------   -----------------  ----------   -------------  ---------
5 ANALOG  (1)   (3)          (4)                                           (5)   (10)               (77,0)           (77,4)             (78,0)          (78,4)             (42)         (24)           (66)
          2     "04nan105"   "MI 2B       MI BKR 2B AMPS               "   nan   3                  999998           480                -999998         -30                1            600.0003       NaN                 
          2     "04nan106"   "MI 2C       MI BKR 2C AMPS               "   nan   3                  999998           480                -999998         -30                1            600.0003       NaN                 
          2     "04nan107"   "BC 6W55MV   BC BKR 6W55 VARS             "   nan   3                  999998           103500             -999998         -15000             1            108000         NaN                 
          2     "04nan108"   "BN 4KW      BN FDR 4 WATTS               "   nan   3                  0                999999             0               -999999            1            20470          NaN                 
          1     "03nan033"   "SEM PEAK     SEM PEAK                    "   nan   2                  999998           10000              -999998         -400               1            1              NaN                 
          1     "03nan034"   "CEC PEAK     CEC LM PEAK                 "   nan   2                  0                999999             0               -999999            1            1              NaN                 
          1     "03nan035"   "MN SOEPT                                 "   nan   1 2 3 4 5 6 7 8    0                999999             0               -999999            1            1              NaN                 
          1     "03nan036"   "LA KVAAVG   LA KVA AVERAGE               "   nan   4                  0                999999             0               -999999            1            1              NaN                 
          2     "04nan109"   "GT P1       PULSE ACCUMULATOR CEC        "   nan   7                  999998           999999             1               -4                 1            3.6            NaN                 
          2     "04nan110"   "WO DCV      WO DC VOLTS                  "   nan   3                  999998           140                -999998         -10                1            149.9835       NaN                 
          1     "03nan037"   "SECI MOBTXW   MOBILE TX WATTS CALC 133   "   nan   1 2 3 4 5 6 7      0                999999             0               -999999            1            1              NaN                 
          2     "04nan111"   "FI T1HST1   TX1 WINDING 1 TEMP           "   nan   4                  0                999999             0               -999999            1            1              NaN                 
          2     "04nan112"   "KH WNDSPD   KH WIND SPEED                "   nan   1                  35               99                 -999998         -999999            1            100            NaN                 
          1     "03nan038"   "PS PF       PERVENT CALCED FAILURE       "   nan   1 2 3 4 5 6 7 8    999998           3750               -999998         -1000              1            1              NaN                 
          2     "04nan113"   "FI T1HST2   TX1 WINDING 2 TEMP           "   nan   4                  0                999999             0               -999999            1            1              NaN                 
